Entity,Base_Emissions_2020,Current_Trend,Current_Net_Zero_Year,SBTi_1.5C_Net_Zero_Year,SBTi_2C_Net_Zero_Year,Gap_vs_1.5C_Years,Gap_vs_2C_Years,Current_Emissions_2030,SBTi_1.5C_Emissions_2030,SBTi_2C_Emissions_2030,Current_Emissions_2050,SBTi_1.5C_Emissions_2050,SBTi_2C_Emissions_2050,Reduction_Needed_2030_1.5C,Reduction_Needed_2030_2C
Entity A,349319.2061466305,Annual change: -16951.5 tCO2e/year,2043,2050,2050,-7,-7,213707.17466072738,161931.87006429926,271186.8468656854,0.0,34797.82221858352,163440.97164341228,24.227218706449342,-26.89646348851431
Entity B,140293.93985228075,Annual change: -22294.7 tCO2e/year,2030,2050,2050,-20,-20,0.0,65035.244667972795,108914.341133977,0.0,13975.537249088658,65641.33160062833,0.0,0.0
