Model,Entity,Execution_Time_Seconds,Peak_Memory_MB,Peak_CPU_Percent,Avg_Memory_MB,Avg_CPU_Percent,Memory_Increase_MB,CPU_Seconds,Memory_Seconds
ARIMA,EntityB,1.7203032970428467,718.3125,618.8,718.306640625,329.61249999999995,0.046875,5.670334704965352,1235.7052821549587
LSTM,EntityB,11.088834285736084,829.796875,277.7,829.7314453125,204.3875,116.890625,22.664191175758837,9200.754498734605
REGRESSION,EntityB,0.07187533378601074,734.27734375,99.2,734.27734375,99.2,23.7421875,0.07130033111572266,52.7764291735366
XGBOOST,EntityB,0.4621880054473877,723.8203125,751.6,723.8203125,751.6,11.4609375,3.473805048942566,334.54106653667986
