Model,RMSE,MAE,MSE,R²,Execution_Time,Peak_Memory_MB,Peak_CPU_Percent
ARIMA,7894.051094502924,7894.051094502924,62316042.682622805,,1.7203032970428467,718.3125,618.8
LSTM,45.378319627242824,15.951723343990055,2059.1918921922115,-0.002857346053857457,11.088834285736084,829.796875,277.7
REGRESSION,21.233230251751323,8.251340983767877,450.85006692388754,0.6704257223221064,0.07187533378601074,734.27734375,99.2
XGBOOST,4.781561827465604,1.2039675488953243,22.86333350987621,0.9832867572178972,0.4621880054473877,723.8203125,751.6
