Model,RMSE,MAE,MSE,R²,Execution_Time,Peak_Memory_MB,Peak_CPU_Percent
ARIMA,37388.89371795853,27676.921757102828,1397929373.4527984,0.2173205049036543,0.5164716243743896,412.265625,266.0
LSTM,85.26550218884127,34.085923661833355,7270.205863515296,0.000981090542382268,8.54173231124878,519.71875,280.3
REGRESSION,57.63951516917703,22.508040567396296,3322.3137089377888,0.5789984710836039,0.12627053260803223,541.8671875,187.5
XGBOOST,17.817754801774928,3.5732877116112443,317.4723861761735,0.9597700964814553,1.8825953006744385,625.54296875,230.5
